Product Card Id,Order Item Quantity,distance_km,political_risk,weather_risk,transport_risk,month,season,is_international,stockout_risk,overstock_risk,Late_delivery_risk,resilience_score
1360,1,5680.647770825701,0.425,0.6,0.4,1,0,1,0,1,0,78.7129014861162
1360,1,14265.64316550775,0.4,0.6,0.4,1,0,1,0,1,1,43.48957122299483
1360,1,11006.709732989935,0.42500000000000004,0.6,0.4,1,0,1,0,1,0,75.16219351134004
1360,1,9020.011414535846,0.30000000000000004,0.6,0.4,1,0,1,0,1,0,78.98665905697611
1360,1,2424.677742592304,0.275,0.6,0.4,1,0,1,0,1,0,83.88354817160513
1360,1,2424.3183530094193,0.30000000000000004,0.6,0.4,1,0,1,0,1,0,83.38378776466038
1360,1,965.445821306172,0.375,0.6,0.2,1,0,1,0,1,1,52.85636945246255
1360,1,13006.024572046534,0.4,0.6,0.2,1,0,1,0,1,1,44.32931695196898
1360,1,9056.61367497381,0.375,0.6,0.3,1,0,1,0,1,1,47.46225755001746
1360,1,10650.281409161078,0.4,0.6,0.2,1,0,1,0,1,1,45.89981239389262
1360,1,406.70896500745647,0.375,0.6,0.3,1,0,1,0,1,0,83.22886068999503
1360,1,14551.656797213715,0.45,0.6,0.3,1,0,1,0,1,1,42.298895468524194
1360,1,12503.395347926284,0.45,0.6,0.3,1,0,1,0,1,1,43.664403101382476
1360,1,3263.8527491063146,0.4,0.6,0.2,1,0,1,0,1,1,50.824098167262456
1360,1,2809.192011385799,0.42500000000000004,0.6,0.2,1,0,1,0,1,1,50.6272053257428
1360,1,2832.727196816164,0.4,0.6,0.2,1,0,1,0,1,1,51.111515202122554
1360,1,4633.209420097112,0.375,0.6,0.3,1,0,1,0,1,1,50.411193719935255
1360,1,7918.870831320344,0.42500000000000004,0.6,0.2,1,0,1,0,1,1,47.22075277911977
1360,1,6535.980777767525,0.4,0.6,0.2,1,0,1,0,1,1,48.642679481488315
1360,1,4439.314188950824,0.42500000000000004,0.6,0.1,1,0,1,0,1,0,79.54045720736612
1360,1,9216.608131363455,0.42500000000000004,0.6,0.1,1,0,1,0,1,0,76.35559457909103
1360,1,2178.4585237154233,0.4,0.6,0.4,1,0,1,0,1,1,51.54769431752305
1360,1,4452.95526317475,0.30000000000000004,0.6,0.3,1,0,1,0,1,1,52.0313631578835
1360,1,5558.791465076007,0.275,0.6,0.3,1,0,1,0,1,0,81.79413902328267
1360,1,6895.442764833835,0.30000000000000004,0.6,0.3,1,0,1,0,1,0,80.40303815677744
1360,1,11799.121824755903,0.275,0.6,0.3,1,0,1,0,1,1,47.633918783496064
1360,1,3075.13935415956,0.30000000000000004,0.6,0.3,1,0,1,0,1,1,52.94990709722696
1360,1,7762.093132362813,0.375,0.6,0.4,1,0,1,0,1,0,78.32527124509146
1360,1,8926.977076044433,0.4,0.6,0.4,1,0,1,0,1,0,77.04868194930371
1360,1,792.1111495279661,0.4,0.6,0.4,1,0,1,0,1,0,82.47192590031469
1360,1,9152.418293331431,0.375,0.6,0.4,1,0,1,0,1,1,47.39838780444571
1360,1,2640.8094429406437,0.42500000000000004,0.6,0.4,1,0,1,0,1,1,50.73946037137291
1360,1,1069.2687354806649,0.4,0.6,0.4,1,0,1,0,1,0,82.28715417634622
1360,1,14238.394505074666,0.4,0.6,0.2,1,0,1,0,1,1,43.507736996616885
